ID,Track,카테고리,질의,기대 필터/열,패턴,1차 답변,1차 답변 시간(초), 2차 답변, 2차 답변 시간(초), 열/필터 일치 여부,답변 일관성,차이 유형,특이사항
STD-01,채용 생성,기본 정보,2026년 1월 기획자 수시 채용에 적합한 채용명을 만들어 줘,,,,,,,,,,
STD-02,채용 생성,기본 정보,수시 채용으로 진행할 거야,,,,,,,,,,
STD-03,채용 생성,기본 정보,공채로 진행할 거야,,,,,,,,,,
STD-04,채용 생성,기본 정보,2026년 1월 기획자 수시 채용으로 진행할 거야. 채용명과 공고명도 추천해줘,,,,,,,,,,
STD-05,채용 생성,기본 정보,채용명은 ‘2026 상반기 기획 직군 수시 채용’으로 할게. 공고명은 알아서 제안해줘,,,,,,,,,,
NOTI-01,채용 생성,공고 설정,2026년 1월 기획자 수시 채용의 공고명을 추천해줘,,,,,,,,,,
NOTI-02,채용 생성,공고 설정,공고(지원서 접수) 기간을 2026-02-05~2026-02-18로 설정해줘,,,,,,,,,,
NOTI-03,채용 생성,공고 설정,공고는 2026-02-05에 열고 2026-02-18 18:00에 마감해줘,,,,,,,,,,
NOTI-04,채용 생성,공고 설정,이번 공고는 경력 채용으로 진행할게,,,,,,,,,,
NOTI-05,채용 생성,공고 설정,이번 공고는 신입 채용으로 진행할게,,,,,,,,,,
NOTI-06,채용 생성,공고 설정,연구개발 직군을 채용할 수 있게 분야를 설정해줘,,,,,,,,,,
NOTI-07,채용 생성,공고 설정,IT 서비스 직군을 채용할 수 있게 분야를 설정해줘,,,,,,,,,,
NOTI-08,채용 생성,공고 설정,영업 직군을 채용할 수 있게 분야를 설정해줘,,,,,,,,,,
NOTI-09,채용 생성,공고 설정,"공고(지원서 접수)만 2026-02-05~2026-02-18로 열고, 직군은 연구·개발로 할게. 공고명도 2개 추천해줘",,,,,,,,,,
NODE-01,채용 생성,채용 전형,"전형은 서류→역량검사→면접(일정조율)로 만들고, 전형명도 알아서 지어줘",,,,,,,,,,
NODE-02,채용 생성,채용 전형,전형 순서를 역량검사→면접(일정조율)→서류 순서로 변경해줘,,,,,,,,,,
NODE-03,채용 생성,채용 전형,전형명은 지원자 관점에서 더 이해하기 쉽게 다듬어줘(유형은 유지),,,,,,,,,,
NODE-04,채용 생성,채용 전형,전형은 서류→역량검사→면접(일정조율)로 가고 싶어. 전형 기간도 평균적으로 추천해줘,,,,,,,,,,
NODE-05,채용 생성,채용 전형,개발자검사도 추가해줘,,,,,,,,,,
COM-01,채용 생성,공통,2026년 3월 기획자 수시 채용을 진행할 거야. 리드타임은 3개월로 잡아줘. 공고명/공고기간/전형구성/전형기간까지 한 번에 추천해줘,,,,,,,,,,
COM-02,채용 생성,공통,"2026 상반기 공채로 진행할 거야. 리드타임은 8주로 잡고, 공고는 2주만 열어줘. 나머지 6주는 전형으로 배분해줘",,,,,,,,,,
COM-03,채용 생성,공통,지금은 공고만 먼저 만들고 싶어. 공고명/공고기간/직군까지만 확정해줘. 전형은 나중에 할게,,,,,,,,,,
COM-04,채용 생성,공통,전형 세트만 표준으로 만들어줘. (역량검사→서류→면접) 공고는 나중에 만들게,,,,,,,,,,
COM-05,채용 생성,공통,‘지원서 접수’ 전형을 추가해줘,,,,,,,,,,
